Nickname,Title,Play Hours,Profile Link,Comment,Date,Language
Sentinowl,1,69,https://steamcommunity.com/id/Sentinowl/,"The game itself is also super fun. The PvP and the campaign are a joy to play. Your actions feel deliberate, almost as if you're controlling an Angel in a 1 Ton metal suit. I love it.

-------------------------------

It's sad that I have to say this, but it's wonderfully refreshing to be able to boot up a game, play for an hour or two, and close it again. Rather than boot it up, do my dailies, check my weeklies, check my season pass etc.


While this should be something to be praised in the year 2024, it is refreshing to see.",2024/9/14,en
Alesta,1,9.5,https://steamcommunity.com/id/Alesta/,"You know, they say, ""The continuation of the first game"", that's exactly what.

The game continues with Titus, the hero of Ultramarines.Titus joined Deathwatch to pay some kind of penance after the events he had experienced in the past, and now he is again between Ultramarines.The story begins with the Tyranid invasion, and at this point, you experience the phenomenon of ""a Space Marine who knows nothing but war"".Titus's story is almost a mythological expression of war and heroism, but frankly what we call ""heroism"" works a little different here.Heroism is mostly based on defense and destroying the enemy.

Warhammer 40,000: Space Marine 2
A Screenshot of Warhammer 40,000: Space Marine 2
By: DROVECK


It is incredibly satisfactory to control Titus.Each step is shaking the enemies, every stroke destroys them.The game is forcing you to stay awake against your enemies.Because it's not enough to be strong, it is important that you timing and escape.Especially defense against the moves of the Tyranids keeps you awake in the game.

Warhammer remains loyal to the universe, game graphics and sound design is really impressive.They have implemented the miniatures of Games Workshop.Every enemy, every environment, as if you have jumped out of your desktop game.In the middle of the war, as the gothic structures wandered, the atmosphere really draws you into it.




The three-player Co-op mode is absolutely successful and if you have friends playing the game by entering the mode, the PVP mode is the feeling that the Space marins are well balanced and play Gears.



Warhammer 40,000: Space Marine 2, a good experience.It is a perfect refreshing both for new ones in the Warhammer universe and for old fans.The depth of gameplay, the atmosphere of the story and the quality of multiplayer mode, this game is one of the memorable games of 2024.If you like action, strategy and some dark science-fiction, you should definitely try this game.Satisfying, exciting and a beautiful work that will accompany you on your return to the Warhammer universe.

+Saber Interactive, Warhammer unexpectedly committed the universe well
+The feeling of stroke and the weight felt while walking is excellent
+Crowded scenes and large -scale Kadaku landscapes are very successful
+Parry and somersault system well fed to the game
+The dimensions and behaviors of the characters are investigated attentively and made correctly

-What unfortunately weak dialogues
-Unused side characters, repetitive side character development
-There is no section that requires you to use any tactics.
-The logic of progressing in departments is always to break the rock or to open the doors.
-DLSS and FSR use failed
-No investment has been made about the future of its service",2024/9/20,tr
Itsuka Kotori207,1,1.1,https://steamcommunity.com/profiles/76561198137736557/,"The more interstellar warriors, the more interstellar soldiers who are rebelled, the more chaotic Star Warriors, and the fewer Star Warriors of the Empire.So the more interstellar warriors, the less interstellar warriors.",2024/9/13,zh-cn
Fattest_falcon,1,19.8,https://steamcommunity.com/id/wabungo/,this game feels like it was made in the mid 2000's/early 2010's but like in a good way,2024/9/14,en
WassySK,1,68.7,https://steamcommunity.com/id/WassySK/,"This feels like playing one of those games that came out during the years 2005-2010 where each game had to have a campaign, co-op and pvp. It is almost unbelievable that we can still experience a good game in this day and age.",2024/9/14,en
userpig,1,95.1,https://steamcommunity.com/id/userpig/,"Never cared much about Warhammer until this game showed me the error of my ways and made me cast away the heresy and fully embrace the Emperor's glorious light. No longer do I wander in the shadow of ignorance, for Space Marine 2 has torn asunder the veil that clouded my mortal sight.

With each righteous strike of the chainsword, I felt the will of the Emperor coursing through my veins. The xenos or the heretic—none can stand before the might of the Adeptus Astartes, and now I, too, feel the weight of that sacred duty upon my shoulders. Every battle is a prayer to His undying majesty, every victory a testament to the purity of the Emperor's cause.

In this game, I learned what it truly means to be a warrior of the Imperium: to purge the unclean without hesitation, to stand unwavering in the face of annihilation, and to know that failure is not an option, for failure would mean the death of mankind itself. This is no mere entertainment—this is an initiation into the sacred brotherhood of those who fight for the survival of the Imperium.

Space Marine 2 is not just a game—it is a revelation, a holy writ in digital form, and a reminder that we must be ever vigilant, ever faithful, and ever ready to cleanse the galaxy of those who would defy the Emperor's will.

Praise be to the God-Emperor! Burn the heretic, purge the unclean!",2024/9/13,en
Imparat0r,1,137.9,https://steamcommunity.com/id/Imparat0r/,"A salute to all the fallen battle brothers who couldn't be here with us after those 12 years of waiting.

This game is everything we were waiting for. A satisfying continuation of Titus's story.

A PvE mode that lets you play with 2 other battle brothers against the infinite hordes of Xenos filth and chaos scum.

A 6v6 PvP mode with three maps. Good balance between classes and weapons.

Pros:
- Phenomenal voice acting (Rollo ftw!)
- Breathtaking visuals
- Satisfying campaign
- Online modes are fun
- NO micro transactions
- NO daily missions, just get in and play
- Extensive customization options
- Good optimization

Cons:
YOU DARE QUESTION THE PURITY OF THIS FINE AND WORTHY SEQUEL? To even think of it is heresy. You have been marked for careful observation.

The Emperor protects.",2024/9/14,en
Crazy_Chuck,1,195.8,https://steamcommunity.com/profiles/76561198035776207/,"Game is great, Buy it. Ignore the game review sites.

PC Gamer gave Space Marines 2 a 60/100 but gave Gollum a 64/100 and Concord nothing but praise.
Never trust the corpos

Edit: I meant to say Dustborn not Concord, Apologizes I confused corpses.",2024/9/23,en
Jek,1,33.6,https://steamcommunity.com/id/JekFighter/,Reminds me of something I've lost. A genuine game. A good game. It's simple and short. I love it.,2024/9/13,en
GGININDER,1,127.2,https://steamcommunity.com/profiles/76561198219199383/,"My teammates have a black man and a black man.

And they paid everything for the emperor for human population

I don’t disgusted the game in the game I played. Whether it is skin tone gender and sexual orientation, as long as players have choices as long as they are loyal to the game and create it

I don’t eat spicy, you eat spicy, I respect your preference for food

But pour peppers into my bowl in the name of equality and diversity, which is your problem.",2024/9/21,ko
