Nickname,Title,Play Hours,Profile Link,Comment,Date,Language
Skalding Beanwater,1,199.9,https://steamcommunity.com/id/dist0rt3dhum0r/,"love me bolta,
love the emparah.
'ate bugs,
'ate 'eretics.

simple as.",2024/10/3,en
Viatorem,0,44.3,https://steamcommunity.com/profiles/76561199087192091/,这个更新成功让saber所剩不多的亲人骨灰扬得一干二净，本来的难度设计已经够畜生了，各种恶心之处已经被大伙说完了，现在还又砍一刀盾卫强度，等级不满插旗不回血了，不是你觉得小怪摸我一下直接残，完了我除了地图里那几个施舍给我的血包之外没有任何回血工具很合理？我还得忍着你这托大粪肝到23级才能解锁高贵的回血技能是吧。制作组全家都该去给黑暗灵族当性奴,2024/10/17,zh-cn
BagelGoose,1,320,https://steamcommunity.com/profiles/76561198263116418/,"I haven't played a game this constantly since the Xbox 360 golden area of video games. This is, at it's heart, a true video game.

I felt compelled enough to get all the achievements, so you know it's good.",2024/10/3,en
GrizzlyOne95,1,13.1,https://steamcommunity.com/id/GrizzlyOne95/,"I know absolutely nothing about Warhammer, and never played the games before, but when I saw a big beefy boi ripping aliens into shreds, I was intrigued.

Anyway, this game was great. Played the campaign partially solo and partially coop. Melee is very satisfying and fun. The shooting is also nice but usually feels pretty ineffective given the lower ammo capacity of most guns. The first moment of the game where you see a huge swarm running at you is terrifying but also exhilarating.

I will say the first half of the game was my favorite, as the other enemies later on don't seem quite as fun to fight, but it was still enjoyable. I never skipped a cutscene, as they were really drawing me in even with no knowledge of the universe. The world building, overall art direction and scenery is just impeccable, and I probably spent upwards of 30+ minutes just staring at the vistas.

Haven't even tried the coop missions or MP yet, but I can say this game was super well done and really fun.",2024/10/4,en
Godbrithil,1,21.7,https://steamcommunity.com/id/Godbrithil/,"Nach über einem Jahrzehnt der Vorfreude, zahllosen Gebeten und gelegentlichem Fluchen, hat Titus endlich wieder seine ikonische Rüstung angelegt – bereit, Alien-Horden den Garaus zu machen. Aber die Frage bleibt: Ist es der lang ersehnte Triumph, auf den wir gewartet haben? Oder nur ein weiteres digitalisiertes Blutbad ohne Hirn und Herz? Wir haben uns die heilige Bolter geschnappt und uns in die Schlacht gestürzt.


Kaum hat man das Spiel gestartet, gibt es keine Zeit für sanfte Einführung oder tiefgründige philosophische Gespräche. Stattdessen bekommst Du eine dicke Bolter in die Hand gedrückt und wirst in eine Armee von Tyraniden geworfen. Der Held unserer Geschichte, Captain Titus, ist der Inbegriff des Space Marine-Klischees: unzerstörbar, zynisch und mit der moralischen Empathie eines Kettenschwerts. Hier wird nicht lange gefackelt – als ob ein Bulldozer gegen eine Horde Wutkranke fährt – rücksichtslos, gewaltig und zu 100% befriedigend. Das Gefühl, wenn Dein Kettenschwert in eine Gruppe Aliens fährt, ist purer Balsam, für die vom Alltag strapazierte, Seele. Strategischer Tiefgang? Vergiss es! Du bist kein Schachmeister, Du bist ein Kriegsinstrument, und Deine einzige Taktik lautet: alles in Sichtweite vernichten. Die kleine subtile Einführung ist dabei keineswegs zu kurz oder lang geraten.


Die Geschichte von Warhammer 40k: Space Marine 2 ist so episch und tiefgründig wie ein Motivationsposter in einem Büro: Sie ist da, aber eigentlich interessiert sie keinen. Captain Titus kehrt zurück, und mit Ihm die alte Weisheit, dass Worte zwar mächtig sein mögen, aber nichts gegen eine gut platzierte Bolter-Salve ausrichten können. Die Tyraniden fressen ganze Welten, der Imperator schweigt wie immer, und Titus tut das, was er am besten kann: alles zerschlagen, was nicht imperial oder nach Xenos aussieht. Tiefgehende Charakterentwicklung? Fehlanzeige. Dafür gibt’s aber ordentlich was auf die Zwölf – und ehrlich gesagt, ist das genau die Art von Storytelling, die wir verdient haben. Für alles andere, gibt es die Bücher. [/h1]


Was gibt es Schöneres, als eine Horde Xenos in Stücke zu schießen? Genau – das Ganze mit Freunden zu tun. Warhammer 40k: Space Marine 2 liefert uns einen Coop-Modus, der keine großen Reden schwingt, sondern Dich und Deine Kumpels direkt in die Schlacht schmeißt. Hier geht es nicht um ausgeklügelte Taktiken oder kluges Zusammenspiel – es geht darum, wer als Erster ""Für den Imperator!"" schreit, während er seine Bolter leerballert. Spaß beiseite: Mit zwei weitren Freunden oder Randoms, stürzt Ihr Euch in Missionen die darauf ausgelegt sind, Teamwork zu fördern – zumindest insofern, dass Ihr euch gegenseitig wiederbelebt, wenn einer der Kameraden im Eifer des Gefechts mal das zeitliche segnet. Meine persönliche Empfehlung: Spielt den Coop unbedingt auf dem Schwierigkeitsgrad „Engel des Todes“ (Kampagne) oder „Gnadenlos“ (PvE), denn nur dort kommt der wahre Spaß und die brutale Authentizität des gemeinsamen Schlachtens richtig zur Geltung.


Kein schamloser Cash-Shop, der Dir das Geld aus der Tasche ziehen will, während Du gerade Aliens zerlegst. Space Marine 2 verzichtet auf Mikrotransaktionen, Booster oder etwaige Bezahlmodelle, die Dir das Gefühl geben, nur halb am Schlachtfeld teilzuhaben, wenn Du nicht ordentlich Kohle locker machst. Hier gibt es nur eines zu tun: Töten und Siege feiern.












Warhammer 40K: Space Marine 2 ist nichts für zartbesaitete Gemüter. Es ist ein Spiel, das sich keinerlei Illusionen hingibt und Dir stattdessen genau das bietet, was es verspricht: gnadenlose, brutale und vor allem unterhaltsame Zerstörung. Es ist, als hätte jemand Doom, Gears of War und die düstere 40K-Welt in einen Mixer geworfen und dabei zufällig den Knopf für ""episch"" gedrückt. Wenn Du also nach einem Spiel suchst, bei dem Du nicht nachdenken musst, sondern einfach nur Tod und Verderben säen willst – herzlich willkommen. Vergiss dabei aber nicht ""Führ den Imperator"" zu rufen.

Hier noch ein kurzes und nettes Video, was das Spiel detailreich beschreibt (Achtung Spoiler):",2024/10/7,de
Trevor Reznik,1,12.9,https://steamcommunity.com/id/trevor_reznik/,"You are essentially a walking tank, but you fight with the grace of a ballerina. This game renders many hundreds of enemies on screen but still manages to run well. Gameplay is fun and addicting. This is everything I want from a game in 2024: to feel like it released back in 2006, while looking even better.",2024/10/6,en
ViMartian,1,12.6,https://steamcommunity.com/profiles/76561198086840425/,"На первый взгляд в Спейс маринах 2 нет ничего инновационного, незамысловатый геймплей, механики, как и в многих играх до этого, простенький сюжет, коридорность локаций, скудность в выборе оружия.
Однако, когда я начала играть, то испытала непередаваемые эмоции.
В игре шикарные до мурашек виды с готическим антуражем и гигантизмом, проработанность мелких деталей, зрелищные битвы.
Игре удалось передать потрясающую атмосферу вселенной, состояние вечной борьбы, щемящего чувства безысходности, когда видишь накатывающие гигантские волны врагов, но в то же время стойкость космодесантников, храбрость имперской гвардии и превозмогание всех трудностей.
Оказалось, сейчас мне не хватало именно вот такого: недолгая сюжетная кампания не успевает наскучить, коридорные локи концентрируют на миссиях, бои радуют эпичностью, а простой сюжет дает отдых от стремящихся к бесконечности вариативных концовок некоторых игр. Оказалось, большой выбор оружия, собственно, и не нужен, космодесантник с болт-винтовкой и цепным мечом — это органично и вполне себе достаточно)
Как итог, Спейс марины2 так впечатлили меня своей атмосферностью, что я заинтересовалась историей вахи и начала читать книги по вселенной.
Рекомендую эту игру, ведь, возможно, кого-то еще она так же, как и меня вдохновит для погружения в лор мира вархаммера 40к.

И да, теперь и я знаю всех примархов наизусть…)))",2024/10/8,ru
Shini,1,79.9,https://steamcommunity.com/profiles/76561198208706796/,"---{ Graphics }---
☑ You forget what reality is
☐ Beautiful
☐ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☐ Very good
☑ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☑ Eargasm
☐ Very good
☐ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☑ Teens
☑ Adults
☑ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☐ Decent
☑ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Game Size }---
☐ Floppy Disk
☐ Old Fashioned
☐ Workable
☑ Big
☐ Will eat 10% of your 1TB hard drive
☐ You will want an entire hard drive to hold it
☐ You will need to invest in a black hole to hold all the data

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☐ Easy to learn / Hard to master
☑ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Grind }---
☐ Nothing to grind
☐ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☑ Average grind level
☐ Too much grind
☐ You'll need a second life for grinding

---{ Story }---
☐ No Story
☐ Some lore
☐ Average
☑ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☑ Short
☐ Average
☐ Long
☐ To infinity and beyond

---{ Price }---
☐ It's free!
☑ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☐ Never heard of
☑ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☑ 8
☐ 9
☐ 10",2024/10/5,en
buzuosi2333,1,122.9,https://steamcommunity.com/profiles/76561199042831327/,非常好的大ass，榨出我的忠诚基因。就是太肝了，打起来太公式化了，要不是情怀向早就腻了，还是希望未来能降低肝度，提高通关奖励，增加关卡随机性。,2024/10/1,zh-cn
EviL_GhosT,1,55.7,https://steamcommunity.com/id/EviL_GhosT_Offical_Profile/,"«ВАРП-ПОРТАЛ В ЗОЛОТУЮ ЭПОХУ ВИДЕОИГР»
Хрестоматийный сиквел. Отличная графика, хорошая оптимизация, интересный сюжет, превосходная шутерная составляющая, а самое главное – это вселенная Warhammer 40,000. Что вам ещё нужно?

МНЕНИЕ

Предисловие
Несколько лет назад играли с друзьями в первый Space Marine. Это был великолепный опыт. Там было всего три кооперативных миссии, но мы затирали их до дыр, потому что было сложно и интересно. А самое главное – было весело. Вспоминаю эти времена с теплотой. Это был хороший шутер по вселенной Warhammer 40,000. Механически не комплексный и сюжетно не обременяющий. Типичный представитель игр того времени.

И спустя столько лет выходит данная игра. В совершенно другую эпоху видеоигр. Но с качествами игр того времени. Возможно, кто-то ожидал большего или просто другого. Это дискуссионная тема, как было бы лучше. Но лично для меня – это самый лучший подарок к моему дню рождения от игровой индустрии. Это как глоток свежего воздуха.


Ещё с первого Space Marine мне нравилось умерщвлять ксеносов из арсенала Империума. Сиквел лишь улучшил данный процесс. Какой же кайф расстреливать тиранидов из тяжелого болтера. Он стал куда эффективнее, чем в прошлой части. Но на нём арсенал не заканчивается. В игре предостаточно видов вооружения – от боевого ножа до мультимельты. Из всего интересно стрелять и за все классы в кооперативе интересно попробовать поиграть.

Да, здесь геймплей состоит из перемалывания орд противников. И мне нравится. Наверное, это 90% игрового процесса. Остальное – это сюжетные вставки, нахождение на барже, ожидание в лифте и любование пейзажами – офигеть какая игра красивая. Но не думайте, что игра даст вам спокойно отстреливать обычных противников – среди них есть особые, элитные противники. Такие противники могут создать вам проблемы, особенно которые атакуют в ближнем бою. На ближней дистанции геймплей из тира превращается в Dark Souls с перекатами, блоком и парированием.

Одно кажется действительно странным – как щиты могут выдержать выстрел из лазерной фузеи? Или почему, когда тиранид скрещивает мечи, то он блокирует все выстрелы с фронтальной части? Только мельта может нанести урон. Такая игровая условность выглядит нелепой.

Ближний бой полезен для всех. По крайней мере, важна система добиваний. Добивания воспроизводятся на низком уровне здоровья противника. Но как они воспроизводятся – моё почтение. Это как современный DOOM, но от 3-его лица. Очень крутые, брутальные и красивые анимации, которые так и хочется воспроизводить. Помимо красивого визуала, вы также получаете +1 к своей броне.

Система брони была изменена. Теперь она делится на сегменты. От 2 до 4. В зависимости от класса, сложности или от взятых вами бонусов. Броня обычно улетучивается в момент от пары ударов или выстрелов. В кооперативе за добивание отсыпают мало – по одному сегменту за добивание. И как-то несправедливо, что одного мелкого из роя можно также добить или отпарировать и получить ровно столько же, как и за элитного противника.

В остальном же мне всё нравится. Это то, чего я ожидал от сиквела Space Marine. Даже добавить нечего.


Тем, кто вливается впервые во вселенную Warhammer 40,000, сюжет может показаться скучноватым. Это можно понять, с учетом, что люди, наверное, уже отвыкли от такого формата игр.

Могу сказать, что мне было интересно наблюдать за продолжением истории Тита. Да, это совершенно не комплексная сюжетно игра – она абсолютно линейная. Но этого и стоило ожидать от сиквела. То, что есть в игре – вполне достаточно для своего жанра. Игра не изобилует геймплейным разнообразием. И тем, кому геймплей не показался сильно увлекательным, могли бы просто устать и испортить себе впечатление от игры.

Сюжет игры радует меня хорошей постановкой, интересными ситуациями и своей брутальной простотой. От некоторых сцен у меня были мурашки по коже. Фанатам вселенной должно зайти многое. И жаль, что незнакомые со вселенной люди не поймут качества проделанной работы.


Плавно стоит перейти к графической составляющей. Я был удивлен, когда первый раз запустил игру и увидел там логотип HAVOK. Глядя на визуал игры, я думал, что игра на Unreal Engine. Но я ошибался – игра сделана на собственном движке от Saber Interactive. Игра радует глаз. Просто нет слов, какие красивые здесь пейзажи и архитектура. И всё это с правильной постановкой света. Вот честно, мне не к чему даже придраться в графическом плане – мне всё очень понравилось.

Слышал, что некоторым не нравится, что всё так линейно что в сюжетке, что в кооперативе. Но знаете, я не вижу смысл в таком усложнении, особенно когда речь идет об игре в жанре тира. Мне нравится, что разработчики хорошо чувствуют во всем меру и не прикручивают лишние элементы там, где это не нужно. Не было моментов, которые могли бы просадить динамику игрового процесса – в игре сложно затупить, где-то заплутать и потеряться. Игра не требует собирать какую-то хрень на задании. Игра не дает нудных заданий или сложных головоломок. Разработчики понимают, про что игра. И это офигенно.


Мне игровой процесс показался увлекательным, поэтому на прохождении кампании я не остановился. Как и в прошлой части, это самый увлекательный и реиграбельный сегмент игры.

В отличие от кампании, в данном режиме повышение сложности куда целесообразнее. В кооперативе появляется чувство прогрессии, потому что вы прокачиваете определенный класс и вооружение. Повышая сложность, вы получаете больше опыта и более крутые данные арсенала (которые нужны для прокачки вооружения).

Единственный минус для меня – нет нужды в тактике. Нет таких моментов, когда нужно взять определенные классы, чтобы получить желаемый результат. Нет явной нужды определенного класса на миссии. С одной стороны, классно, что каждый может играть, как ему интересно. С другой стороны, я вспоминаю то самое время, когда мы с друзьями в первом Space Marine придумывали разные тактики на миссии, начиная с выбора оружия и заканчивая нашей ротацией/нахождением на карте. Это было офигенно.

Сейчас роляют просто ваши персональные способности, ваш скилл. Возможно, позже будет сложность, где это будет необходимо.

Захожу в этот режим частенько спустя почти месяц игры. Пару раз один или с друзьями точно выхожу, дабы искоренить еретиков и ксеносов. Миссий стало в два раза больше, чем в оригинале. Они интереснее, потому что там тоже есть постановка, как в кампании. Много крутых моментов.

Жаль диалогов не так много между напарниками. Они часто повторяются, но они классные.


Поразительно было увидеть столь рудиментарный мультиплеер в 2024 году.

Он ощущается хуже, чем кооператив. Его хватает на куда меньшее время – он быстро наскучивает. Оружие в игре никак не настроить под себя – нет никаких улучшений. Только внешний вид. Уровни в этом режиме открывают только доступ к определенному оружию.

На пару раз зайти можно, но задержаться на долго у меня не получается.


Весьма хороший выбор для персонализации своего образа. Множество орденов, кастомизация для определенных частей тела. Куча реликвий на доспехи и на оружие. Всего этого вы не увидите за Хаос.

Я понимаю, почему кастомизации так мало за Хаос, но... её, считай, что нет вообще. Здесь всего шесть орденов и все они будто бы заточены под определенные классы.

Печально, что Хаосу уделено меньше внимания, чем в предыдущей части. Как минимум, в прошлой части была целая миссия за них. Здесь же они представлены очень скудно


Это одна из редких игр, где складывается впечатление, что всё здесь на своем месте. Всё работает, как надо и нет ничего лишнего. Мне очень понравилось игра. Играю один или с друзьями и просто кайфую.



Обитель моих обзорчиков",2024/10/2,ru
