Nickname,Title,Play Hours,Profile Link,Comment,Date,Language
TowardEson,0,41,https://steamcommunity.com/profiles/76561198364924021/,"首先，如果您是一个观望着准备购买的玩家，那么我的建议是：不要买，起码现阶段是这样的。
如果您是一个战锤粉丝，我会推荐您酌情购买，但如果你根本不是战锤粉丝，那么重复第一句。

在这款游戏中，我主要玩的是剑卫（全解锁了），在当下这个版本基本算是小丑之一，只能当做辅助来玩。我的评测也只是围绕着剑卫这个职业的游玩体验来说的。

那么为什么我不推荐购买呢？

剑卫在最开始那个版本无疑爽翻天，回击无脑弹反，插旗为队友提供回血、复活服务，真的很爽。
如果制作组没有突发奇想做平衡的话，那么我就会推荐你买了。

第一点，玩家的机动性太烂了。
大哥，这是阿斯塔特，不是穿了重甲的欧格林，你就比游戏里的凡人跑得稍微快了点，这合适吗？隔壁的暗潮超人都比你所谓的老e神选跑得快。无论是哪个版本，这个都是我一直吐槽的问题，很多大得一批的地图，你又跑不快，顶个jb用，唯一的用处就是在奔跑的路上被各种各样的远程怪狙击怪鸿儒，子弹吃到饱。

第二点，也是最重要的一点，制作组是弱智，特别是平衡方面。

可能有人会喷，哎呀明明是你们一开始说太简单了，要来点有难度的。
他令堂的，我们是想要强者对强者，就是三个数值强大的阿斯塔特们去对战数值同样强大的怪海，而不是你一刀把大伙削成老弱病残再去跟千子和虫子对砍。

平衡性方面的改动恶心人的地方太多了，这里一个个提。

第一，本来剑卫大部分动作都可以后摇取消，现在没了，在干千子的时候，你还得小心翼翼地出招，生怕人家一个红圈不可替连招把你直接干烂。

第二，闪避的无敌帧缩短、回击的判定缩短，你改这b玩意干什么我请问了？是嫌玩家打得太舒服了是不是？你们自己有没有体验过现在的游戏？有没有去用你们那个欧格林的三分之一高的智商去想想，这是不是太超模？是，很超模，超模在哪呢？因为除了回击其他的全是废物！对付不可格挡的红圈你只能闪！一对一你肯定能闪啊，那怪海呢？你翻滚无敌帧一削，只要一翻滚必吃伤害，那我还玩个牛牛啊。

第三，一说到这个回击我就来气，你知道大伙为啥无脑回击？就是因为你们设计的近战伤害是真的真的真的！很tm低！我砍3套不如弹反一次的伤害高，不是哥们，你是奸奇派来强健恐虐的吗？你们有没有考虑过玩家为啥会形成这些打法？你这一削回击，大家都可以躺下睡觉了，一个不小心千子就可以把你打得满地找牙。

第四，你们口口声声说做平衡，表面回调，实际上你们的明削暗改，大家又不是不知道。前三个很多问题，似乎都在你们的意料之内吧？想复刻超级地球可以，直说。
就拿远程来说，我剑卫真的很怕远程，尤其是近身打架，你不能一直举着盾吧？你这盾挡不住后面的枪子吧？你们说降低了近战时子弹的命中率，而结果是啥呢？我接近敌人玩近身战的时候，你们那些b怪就是不肯近战，就是贴着脸掏枪射我，你tm橘前辈是吧“只要这个距离的话，你就躲不开了吧！”是，命中率是降低了，tm贴脸上的命中率可一点不低，我tm满血剑卫n5被一只虫子直接贴脸蒸发了，我用剑打还打不出硬直，人家打我刀刀烈火，那你让我咋办？举个盾给你表演一个？你们动动那猪脑子，这是人能想到的平衡吗？

总结起来就是，恶心人的平衡，还有因平衡造就的近乎失败的设计。

还有，你们这产能有够低的，原神都比你们的产能高一万倍。

我很喜欢这款游戏，阿斯塔特真的很帅，泰图斯的故事也值得津津乐道，但也仅此而已了。

这款游戏，纯纯是借了战锤的光，绣花枕头烂草包，中看不中玩。",2024/11/5,zh-cn
劲夫KING,0,172.7,https://steamcommunity.com/profiles/76561198994134046/,"爆弹枪是刮痧的，
回击是一直削的，
打近战是不爽的，
技能树是单一的，
游戏性是没有的，
玩游戏是要教的，
建议是不听的
大饼是要画的，
产能是不够的，
差评是应得的。",2024/11/10,zh-cn
SN@KE,1,164.2,https://steamcommunity.com/id/cagoBHuK/,"One of the best Warhammer 40000 game i have ever played! Juicy finisher animation, good melee and range combat system, good campaign, amazing PVE mode, deep character customization system.

I am leaving the game since there is not much content and there is nothing more to discover by that moment: 7 PVE missions, 3 PVP maps and less than 10 hours campaign. Plus add problems with disconections due to server issues. Thought this should be fixed by now but its been 2 months since the release and i still got disconected every 1-2 hour. It is very dissapointed to play a map for 30 mins and got disconnected from the server prior 5 min to the end.

Still i would reccomened this game for new players and Warhammer 40000 veterans!
For the Emperor!",2024/11/9,en
QNra,1,119.1,https://steamcommunity.com/id/koala911/,"Honestly, related to games, Space Marine 2 and Black Myth Wukong made this summer legendary!

- The story mod is awesome but short, around 6 missions with really cool cinematics.

- The online coop is 10/10, this part is where you should enjoy more in this game, is just perfect! and is where you get most of the game time.

- The multiplayer is ""meh"", you have it there, it's an option, you could play some matches but is the weakest point in the game. it feels slow with a lot of awkward situations and gimmicks.

Took me 119hrs to unlock all the steam achievements.

BTW, game run excellent, since I bought it I only had 1 crash. let me tell you with the today's standards, that's a good record.",2024/10/22,en
巴拉巴斯·丹提欧克,1,65.2,https://steamcommunity.com/profiles/76561199173200592/,美术满分，氛围感拉满，但司马saber组给你幽默完了，角色性能低下，技能设计连暗潮都不如，原铸星际战士给做成氢气战士，经典武器爆弹枪做成糖豆枪，陶钢装甲做成对折的纸等等诸如此类NT游戏设计。,2024/10/27,zh-cn
For the emperor,0,145.9,https://steamcommunity.com/profiles/76561198375505792/,官方简直就是没玩过自己的游戏，一拍脑袋想出抱团才能回甲，整个就和自己的职业设置相悖，你前排和后排就不用顾及了吗？防御关对面刷一个千字终结者火力覆盖你是去切后排还是不切？你冲出去就无法回甲，你砍它结果它还有霸体，给你甲突突完了你处决了它后也没办法回甲，然后怎么办？死呗！N5简直就是运营的脑残之作，地狱潜兵走过的路你们又走一遍，你们这群白皮猪真是不能对你们太好了，对你们好了你们就飘。,2024/10/18,zh-cn
狗剩,1,105.7,https://steamcommunity.com/profiles/76561199027344866/,你妈个逼你是真傻逼，一个PVE游戏三番五次削弱玩家角色你是你妈个逼这么想出来的，制作组是不是你妈生你的时候那个臭逼把你脑子熏坏了搞这种B玩意，爆矢武器伤害过低从开服就开始提到现在你是一点看不到，你眼睛也让你妈臭逼熏瞎了？N5难度你妈队友不在身边不能回甲又是哪个脑子进大便的狗杂种想出来的，你干脆把突击删了得了，本来切后排就容易死这下甲都不给回了，我真想把你们这帮子几把不懂还喜欢乱改的贱种的亲妈抓走做恶魔子宫,2024/10/18,zh-cn
Torien,1,45.9,https://steamcommunity.com/id/t0rienn/,"Simples, direto e perfeito. Se quer aliviar o estresse, aqui você tem: tiroteio, explosões por todos os lados, pancadaria desenfreada, e o prazer de cortar, arrancar e pisotear tiranídeos. Esse é um jogo que não enrola, sem medo – onde o filho chora e a mãe não vê. Imagine algo como uma mistura entre God of War e Gears of War.

Você ainda pode jogar a campanha principal e as operações paralelas em co-op, e o PvP, apesar de simples, é muito bem feito e divertido.

Se você já curte o universo de 40K, vai se sentir em casa. E se ainda não conhece, dê uma chance. Comece por aqui e, depois, experimente o primeiro Space Marine, que é muito f#da e sempre aparece em promoção por um preço baratinho.

Agora, se você realmente curtir esse universo, a variedade de jogos é imensa. Tem jogo pra todo mundo: RTS no estilo Warcraft, FPS ao estilo Left 4 Dead, Action RPG como Diablo, RPG de turno parecido com BG3, e combate tático em turno, tipo XCOM.

PELO IMPERADOR!",2024/10/24,pt
your favorite //CYBER//pony,1,33.5,https://steamcommunity.com/id/gurofan100500/,"Епичнейшая компания. Крутое продолжение серии.
А вот мультиплеер если честно уныленький немножко, хотя свой кайф тоже имеет.
Однозначно игра стоит потраченого на неё времени и денег.",2024/10/21,ru
ArthurKong,1,86.4,https://steamcommunity.com/profiles/76561198816063713/,"Warhammer Space Marine 2, foi para mim o melhor jogo que joguei nos últimos anos. Não por ser um jogo que tenta ter um enredo complexo ou algo que tente atingir todos os públicos e acabe agradando ninguém. Esse jogo tenta e conseguiu se propor a ser simplesmente um jogo DIVERTIDO. Ele tem um modo companha, PvP e PvE e você vai se divertir com qualquer um deles.

A campanha é curta, mas não significa que é ruim, pois quantidade não é qualidade, poucos jogos conseguiram uma campanha longa e boa e são memoráveis até hoje. A campanha tem inicio, meio e fim, bem explicado e com personagens que vão te ensinar através de ações valores importantes para sua vida real, como honra, dever e sacrifício ( e para os mais religiosos a importância da fé em seu mestre/salvador). A campanha tem uma dificuldade natural, de você não conseguir porém você quer continuar.

Não joguei muito o PvP só o suficiente para pegar as conquistas, porém me diverti bastante o PvP é desbalanceado so que a graça é que não é pay to win, todo mundo tem acesso aos mesmos armamentos, classes e etc. Mapas bem construídos e fáceis de memorizar e jogar.

O PvE é um show a parte com operações que tem co-relação com a campanha, boss fights muito desafiadoras, níveis de dificuldades bem balanceados e distintos, cada classe que você escolher tem uma build de aramas e habilidades com estilo de gameplay completamente distintos.

O que me surpreendeu nesse jogo foi a relação da comunidade com os desenvolvedores onde, tudo está sendo resolvido da forma mais rápida e justa possível sem fan service ou algo do tipo.

Space marine 2 é uma perola do AAA, para quem tava descrente com o mercado de jogos, esse game é a solução. conheci o universo warhammer por causa dele, fiz novos amigos e depois de muito tempo afasto de jogos multiplayer encontrei um onde é saudável investir meu tempo.

ps: NÃO TEM MICROTRANSAÇÃO,, ATÉ OS COSMÉTICOS VOCÊ TEM QUE COMPRAR COM MOEDAS QUE VOCÊ SÓ CONSEGUE JOGANDO ASSIM COMO TODO MUNDO :D",2024/11/1,pt
